time,city,latitude,longitude,temperature_2m,relative_humidity_2m,precipitation,rain,weather_code,wind_speed_10m
2019-10-01T00:00,上海,31.2304,121.4737,23.1,96,0.2,0.2,51,7.0
2019-10-01T01:00,上海,31.2304,121.4737,23.0,95,0.4,0.4,51,7.9
2019-10-01T02:00,上海,31.2304,121.4737,23.0,94,0.1,0.1,51,9.3
2019-10-01T03:00,上海,31.2304,121.4737,23.1,94,0.1,0.1,51,11.6
2019-10-01T04:00,上海,31.2304,121.4737,23.5,94,0.4,0.4,51,13.2
2019-10-01T05:00,上海,31.2304,121.4737,23.7,95,0.3,0.3,51,14.5
2019-10-01T06:00,上海,31.2304,121.4737,24.0,95,0.3,0.3,51,15.1
2019-10-01T07:00,上海,31.2304,121.4737,24.6,94,0.3,0.3,51,17.3
2019-10-01T08:00,上海,31.2304,121.4737,24.6,90,0.7,0.7,53,18.0
2019-10-01T09:00,上海,31.2304,121.4737,24.4,90,4.5,4.5,63,18.2
2019-10-01T10:00,上海,31.2304,121.4737,23.6,94,3.6,3.6,63,19.1
2019-10-01T11:00,上海,31.2304,121.4737,24.0,92,3.1,3.1,63,22.9
2019-10-01T12:00,上海,31.2304,121.4737,24.2,92,3.8,3.8,63,24.6
2019-10-01T13:00,上海,31.2304,121.4737,23.8,93,4.7,4.7,63,30.8
2019-10-01T14:00,上海,31.2304,121.4737,24.4,90,1.9,1.9,61,35.0
2019-10-01T15:00,上海,31.2304,121.4737,24.1,92,3.1,3.1,63,36.9
2019-10-01T16:00,上海,31.2304,121.4737,24.2,90,5.2,5.2,63,37.9
2019-10-01T17:00,上海,31.2304,121.4737,24.5,88,5.9,5.9,63,42.5
2019-10-01T18:00,上海,31.2304,121.4737,24.6,88,4.4,4.4,63,51.5
2019-10-01T19:00,上海,31.2304,121.4737,24.3,89,5.0,5.0,63,46.0
2019-10-01T20:00,上海,31.2304,121.4737,23.1,89,10.7,10.7,65,46.6
2019-10-01T21:00,上海,31.2304,121.4737,23.0,90,13.5,13.5,65,46.9
2019-10-01T22:00,上海,31.2304,121.4737,23.4,91,9.2,9.2,65,38.4
2019-10-01T23:00,上海,31.2304,121.4737,23.2,91,4.5,4.5,63,47.1
2019-10-02T00:00,上海,31.2304,121.4737,23.4,92,2.3,2.3,61,30.2
2019-10-02T01:00,上海,31.2304,121.4737,23.1,92,2.5,2.5,63,35.8
2019-10-02T02:00,上海,31.2304,121.4737,23.0,92,1.4,1.4,61,34.4
2019-10-02T03:00,上海,31.2304,121.4737,23.1,92,0.8,0.8,53,31.1
2019-10-02T04:00,上海,31.2304,121.4737,22.5,94,0.5,0.5,53,30.1
2019-10-02T05:00,上海,31.2304,121.4737,22.5,94,0.5,0.5,53,31.2
2019-10-02T06:00,上海,31.2304,121.4737,22.4,94,1.4,1.4,61,27.9
2019-10-02T07:00,上海,31.2304,121.4737,22.5,94,0.7,0.7,53,28.0
2019-10-02T08:00,上海,31.2304,121.4737,23.1,89,0.6,0.6,53,26.8
2019-10-02T09:00,上海,31.2304,121.4737,23.8,85,0.1,0.1,51,31.6
2019-10-02T10:00,上海,31.2304,121.4737,24.9,79,0.4,0.4,51,32.3
2019-10-02T11:00,上海,31.2304,121.4737,25.6,75,0.1,0.1,51,32.3
2019-10-02T12:00,上海,31.2304,121.4737,26.9,68,0.0,0.0,2,32.9
2019-10-02T13:00,上海,31.2304,121.4737,27.1,66,0.0,0.0,2,31.6
2019-10-02T14:00,上海,31.2304,121.4737,27.1,67,0.0,0.0,2,26.6
2019-10-02T15:00,上海,31.2304,121.4737,27.2,67,0.0,0.0,0,25.4
2019-10-02T16:00,上海,31.2304,121.4737,26.9,69,0.0,0.0,0,19.9
2019-10-02T17:00,上海,31.2304,121.4737,25.7,75,0.0,0.0,1,15.5
2019-10-02T18:00,上海,31.2304,121.4737,23.9,84,0.0,0.0,0,13.7
2019-10-02T19:00,上海,31.2304,121.4737,23.0,85,0.0,0.0,0,10.9
2019-10-02T20:00,上海,31.2304,121.4737,22.6,90,0.0,0.0,0,7.7
2019-10-02T21:00,上海,31.2304,121.4737,22.1,92,0.0,0.0,0,6.7
2019-10-02T22:00,上海,31.2304,121.4737,21.5,95,0.0,0.0,0,4.3
2019-10-02T23:00,上海,31.2304,121.4737,21.4,95,0.0,0.0,0,3.2
2019-10-03T00:00,上海,31.2304,121.4737,20.5,98,0.0,0.0,0,3.7
2019-10-03T01:00,上海,31.2304,121.4737,19.7,100,0.0,0.0,3,4.1
2019-10-03T02:00,上海,31.2304,121.4737,19.4,100,0.0,0.0,3,3.9
2019-10-03T03:00,上海,31.2304,121.4737,19.0,100,0.0,0.0,3,4.3
2019-10-03T04:00,上海,31.2304,121.4737,18.6,100,0.0,0.0,3,3.1
2019-10-03T05:00,上海,31.2304,121.4737,19.0,99,0.0,0.0,3,4.3
2019-10-03T06:00,上海,31.2304,121.4737,18.4,100,0.0,0.0,3,3.6
2019-10-03T07:00,上海,31.2304,121.4737,19.0,98,0.0,0.0,3,3.2
2019-10-03T08:00,上海,31.2304,121.4737,21.9,97,0.0,0.0,3,4.1
2019-10-03T09:00,上海,31.2304,121.4737,24.9,81,0.0,0.0,0,4.8
2019-10-03T10:00,上海,31.2304,121.4737,26.7,73,0.0,0.0,0,5.0
2019-10-03T11:00,上海,31.2304,121.4737,27.9,63,0.4,0.4,51,5.6
2019-10-03T12:00,上海,31.2304,121.4737,28.0,63,0.3,0.3,51,6.4
2019-10-03T13:00,上海,31.2304,121.4737,27.9,61,0.1,0.1,51,2.8
2019-10-03T14:00,上海,31.2304,121.4737,27.9,62,0.1,0.1,51,2.6
2019-10-03T15:00,上海,31.2304,121.4737,27.6,64,0.0,0.0,1,3.1
2019-10-03T16:00,上海,31.2304,121.4737,27.2,68,0.0,0.0,1,6.2
2019-10-03T17:00,上海,31.2304,121.4737,26.0,79,0.0,0.0,1,7.4
2019-10-03T18:00,上海,31.2304,121.4737,24.2,87,0.0,0.0,0,8.1
2019-10-03T19:00,上海,31.2304,121.4737,23.1,91,0.0,0.0,0,8.1
2019-10-03T20:00,上海,31.2304,121.4737,22.9,90,0.0,0.0,0,8.9
2019-10-03T21:00,上海,31.2304,121.4737,22.5,92,0.0,0.0,0,7.9
2019-10-03T22:00,上海,31.2304,121.4737,22.1,95,0.0,0.0,0,6.9
2019-10-03T23:00,上海,31.2304,121.4737,21.9,98,0.0,0.0,0,6.4
2019-10-04T00:00,上海,31.2304,121.4737,21.6,98,0.0,0.0,0,6.4
2019-10-04T01:00,上海,31.2304,121.4737,21.2,99,0.0,0.0,0,6.4
2019-10-04T02:00,上海,31.2304,121.4737,20.9,100,0.0,0.0,3,5.9
2019-10-04T03:00,上海,31.2304,121.4737,20.6,100,0.0,0.0,3,5.6
2019-10-04T04:00,上海,31.2304,121.4737,20.4,100,0.0,0.0,3,5.2
2019-10-04T05:00,上海,31.2304,121.4737,20.4,100,0.0,0.0,3,5.6
2019-10-04T06:00,上海,31.2304,121.4737,20.4,100,0.0,0.0,3,5.4
2019-10-04T07:00,上海,31.2304,121.4737,22.0,98,0.0,0.0,3,3.7
2019-10-04T08:00,上海,31.2304,121.4737,24.4,89,0.0,0.0,1,7.1
2019-10-04T09:00,上海,31.2304,121.4737,26.0,81,0.0,0.0,1,6.5
2019-10-04T10:00,上海,31.2304,121.4737,27.0,74,0.1,0.1,51,7.7
2019-10-04T11:00,上海,31.2304,121.4737,27.4,71,0.2,0.2,51,9.1
2019-10-04T12:00,上海,31.2304,121.4737,27.4,71,0.5,0.5,53,9.8
2019-10-04T13:00,上海,31.2304,121.4737,27.4,71,0.6,0.6,53,10.8
2019-10-04T14:00,上海,31.2304,121.4737,27.0,74,0.4,0.4,51,12.6
2019-10-04T15:00,上海,31.2304,121.4737,26.5,76,0.0,0.0,0,14.2
2019-10-04T16:00,上海,31.2304,121.4737,25.8,82,0.0,0.0,0,13.4
2019-10-04T17:00,上海,31.2304,121.4737,24.7,88,0.0,0.0,0,12.2
2019-10-04T18:00,上海,31.2304,121.4737,23.5,94,0.0,0.0,0,10.9
2019-10-04T19:00,上海,31.2304,121.4737,23.1,95,0.0,0.0,3,10.6
2019-10-04T20:00,上海,31.2304,121.4737,23.3,97,0.0,0.0,3,8.2
2019-10-04T21:00,上海,31.2304,121.4737,23.5,96,0.0,0.0,1,8.0
2019-10-04T22:00,上海,31.2304,121.4737,23.3,95,0.0,0.0,1,9.9
2019-10-04T23:00,上海,31.2304,121.4737,23.1,94,0.0,0.0,0,10.2
2019-10-05T00:00,上海,31.2304,121.4737,23.0,94,0.0,0.0,0,9.4
2019-10-05T01:00,上海,31.2304,121.4737,22.5,95,0.0,0.0,0,10.9
2019-10-05T02:00,上海,31.2304,121.4737,22.4,95,0.0,0.0,1,11.5
